Responders,"Do you have any comments on the material provided in the technical annex?
ths.  I needed help ‚Äì I asked for help ‚Äì and instead I got this.  The time has come for reviews and investigations to end. No more empty promises. No more warm words.   We need action from the Government to stop the use of inpatient units and to safeguard the human rights of vulnerable adults like me, and like Clare, Alex and Paul who we saw in the documentary, who are autistic or have a learning disability.   I call upon the Government to end the abuse and mistreatment of autistic people and people with a learning disability in inpatient units by doing to the following:      Declare that autistic people and people with a learning disability are #HumanToo and must have their human rights safeguarded     Immediately commit to make money available to set up the right community services for autistic people and people with a learning disability - and that this is ring-fenced     Change the wording of the definition of ‚Äòmental disorder‚Äô in the Mental Health Act, which currently includes autism and learning disability ‚Äì whilst legally safeguarding ‚Äòat risk‚Äô individuals access to Care & Treatment Reviews     Establish accountability right across Government to make sure this happens  For information and support on this issue you can visit the National Autistic Society website.  https://www.kingsfund.org.uk/audio-video/population-health-animation  https://www.youtube.com/watch?v=EHkozMIXZ8w  https://www.youtube.com/watch?v=dvba62gObhw  https://www.youtube.com/watch?v=t4LwS5GPgEA  The data speaks for itself.  Each admission, each electro convulsive treatment , restraint, each seclusion, each serious incident, each medication error is a human rights abuse.  We just need to listen?  Alexis Quinn?  Act wisely?  We are not using public money ‚Äì our money well (each admission costs at least ¬£18K)  We need to learn from Italy, Finland, Manchester and others.  Work together?  How will we put the change we need into action? not just strategy papers?  We need the other part of this ‚Äúpicture‚Äù the data from the Haven and community.  In summary my aims are ...  All Mental Health Hospitals should be closed as per Italy; the Haven/ respite/ Home Group model should be adopted - which is part of the NHS long term plan.  The Mental Health Act should be abolished, one of the few areas of law where you can be locked away for something you may do, by people who have a vested interest in locking you away  (James Davies work CRACKED why psychiatry is doing more harm than good is relevant here?)  People should be supported to come off psychiatric drugs if this is their wish ...  Antipsychotics Associated with Severe COVID-19 and Fatal Outcomes  Move from a Medical model of distress to a social / Human Rights model of distress ...  From Paternalism to human rights ...  Citizen assemblies, community right to buy, community commissioning, participatory budgeting?  Hope you have a great 2020  In love + solidarity  Wendy Micklewright",Did not answer the question,,,,,,,,,
138,,NA,,,,,,,,,
139,,NA,,,,,,,,,
140,"The label needs to be larger, some are so small they can only be seen with a magnifying glass ",Did not answer the question,,,,,,,,,
141,"This is very intersting. I have enjoyed reading it all,",Did not answer the question,,,,,,,,,
142,,NA,,,,,,,,,
143,,NA,,,,,,,,,
144,,NA,,,,,,,,,
145,,NA,,,,,,,,,
146,,NA,,,,,,,,,
147,,NA,,,,,,,,,
148,,NA,,,,,,,,,
149,,NA,,,,,,,,,
150,,NA,,,,,,,,,
151,,NA,,,,,,,,,
152,,NA,,,,,,,,,
153,,NA,,,,,,,,,
154,,NA,,,,,,,,,
155,,NA,,,,,,,,,
156,,NA,,,,,,,,,
157,,NA,,,,,,,,,
158,,NA,,,,,,,,,
159,,NA,,,,,,,,,
160,,NA,,,,,,,,,
161,,NA,,,,,,,,,
162,,NA,,,,,,,,,
163,,NA,,,,,,,,,
164,,NA,,,,,,,,,
165,,NA,,,,,,,,,
166,,NA,,,,,,,,,
167,,NA,,,,,,,,,
168,,NA,,,,,,,,,
169,,NA,,,,,,,,,
170,I think a bit more doing in a practical way to feed the hungry. And less theory  would deal with the imediate problems better.   To prevent disease and sadly death in some cases.    Too much food waste in some cases. Food that could be  Cooked to feed everyone.    ,Did not answer the question,,,,,,,,,
171,,NA,,,,,,,,,
172,,NA,,,,,,,,,
173,,NA,,,,,,,,,
174,,NA,,,,,,,,,
175,,NA,,,,,,,,,
176,,NA,,,,,,,,,
177,,NA,,,,,,,,,
178,,NA,,,,,,,,,
179,,NA,,,,,,,,,
180,,NA,,,,,,,,,
181,,NA,,,,,,,,,
182,,NA,,,,,,,,,
183,,NA,,,,,,,,,
184,,NA,,,,,,,,,
185,,NA,,,,,,,,,
186,,NA,,,,,,,,,
187,,NA,,,,,,,,,
188,,NA,,,,,,,,,
189,,NA,,,,,,,,,
190,I have not read the annex.  Time presses....,Did not answer the question,,,,,,,,,
191,,NA,,,,,,,,,
192,,NA,,,,,,,,,
193,,NA,,,,,,,,,
194,,NA,,,,,,,,,
195,,NA,,,,,,,,,
196,,NA,,,,,,,,,
197,,NA,,,,,,,,,
198,,NA,,,,,,,,,
199,,NA,,,,,,,,,
200,,NA,,,,,,,,,
201,,NA,,,,,,,,,
202,,NA,,,,,,,,,
203,,NA,,,,,,,,,
204,,NA,,,,,,,,,
205,,NA,,,,,,,,,
206,,NA,,,,,,,,,
207,,NA,,,,,,,,,
208,,NA,,,,,,,,,
209,,NA,,,,,,,,,
210,,NA,,,,,,,,,
211,,NA,,,,,,,,,
212,,NA,,,,,,,,,
213,,NA,,,,,,,,,
214,,NA,,,,,,,,,
215,,NA,,,,,,,,,
216,,NA,,,,,,,,,
217,,NA,,,,,,,,,
218,Why isn't there a link to take me directly to the relevant paragraphs? ,NA,,,,,,,,,
219,,NA,,,,,,,,,
220,,NA,,,,,,,,,
221,,NA,,,,,,,,,
222,,NA,,,,,,,,,
223,,NA,,,,,,,,,
224,,NA,,,,,,,,,
225,,NA,,,,,,,,,
226,,NA,,,,,,,,,
227,,NA,,,,,,,,,
228,,NA,,,,,,,,,
229,,NA,,,,,,,,,
230,,NA,,,,,,,,,
231,,NA,,,,,,,,,
232,,NA,,,,,,,,,
233,ISO needed,NA,,,,,,,,,
234,,NA,,,,,,,,,
235,,NA,,,,,,,,,
236,,NA,,,,,,,,,
237,,NA,,,,,,,,,
238,,NA,,,,,,,,,
239,,NA,,,,,,,,,
240,,NA,,,,,,,,,
241,,NA,,,,,,,,,
242,,NA,,,,,,,,,
243,,NA,,,,,,,,,
244,,NA,,,,,,,,,
245,,NA,,,,,,,,,
246,,NA,,,,,,,,,
247,,NA,,,,,,,,,
248,,NA,,,,,,,,,
249,,NA,,,,,,,,,
250,,NA,,,,,,,,,
251,,NA,,,,,,,,,
252,,NA,,,,,,,,,
253,,NA,,,,,,,,,
254,,NA,,,,,,,,,
255,,NA,,,,,,,,,
256,,NA,,,,,,,,,
257,,NA,,,,,,,,,
258,,NA,,,,,,,,,
259,,NA,,,,,,,,,
260,,NA,,,,,,,,,
261,,NA,,,,,,,,,
262,,NA,,,,,,,,,
263,,NA,,,,,,,,,
264,Instead of wasting  money on labelling why not spend more on educating on the importance of healthy eating.,Education needed/familiarisation costs,,,,,,,,,
265,,NA,,,,,,,,,
266,,NA,,,,,,,,,
267,,NA,,,,,,,,,
268,Sorry I hope that will be all!,Did not answer the question,,,,,,,,,
269,,NA,,,,,,,,,
270,,NA,,,,,,,,,
271,,NA,,,,,,,,,
272,,NA,,,,,,,,,
273,,NA,,,,,,,,,
274,,NA,,,,,,,,,
275,,NA,,,,,,,,,
276,,NA,,,,,,,,,
277,,NA,,,,,,,,,
278,,NA,,,,,,,,,
279,,NA,,,,,,,,,
280,,NA,,,,,,,,,
281,,NA,,,,,,,,,
282,,NA,,,,,,,,,
283,,NA,,,,,,,,,
284,,NA,,,,,,,,,
285,,NA,,,,,,,,,
286,,NA,,,,,,,,,
287,,NA,,,,,,,,,
288,,NA,,,,,,,,,
289,,NA,,,,,,,,,
290,,NA,,,,,,,,,
291,,NA,,,,,,,,,
292,,NA,,,,,,,,,
293,,NA,,,,,,,,,
294,,NA,,,,,,,,,
295,,NA,,,,,,,,,
296,,NA,,,,,,,,,
297,,NA,,,,,,,,,
298,,NA,,,,,,,,,
299,,NA,,,,,,,,,
300,,NA,,,,,,,,,
301,,NA,,,,,,,,,
302,,NA,,,,,,,,,
303,,NA,,,,,,,,,
304,,NA,,,,,,,,,
305,,NA,,,,,,,,,
306,,NA,,,,,,,,,
307,,NA,,,,,,,,,
308,,NA,,,,,,,,,
309,,NA,,,,,,,,,
310,,NA,,,,,,,,,
311,,NA,,,,,,,,,
312,,NA,,,,,,,,,
313,,NA,,,,,,,,,
314,,NA,,,,,,,,,
315,I don't have time to examine the material you are offering - unless you want to provide a grant to potential respondents to your questionnaires to enable them to spend time examing the technical annex material.  (Is this a public consultation or for nutrition/public health professionals?),Did not answer the question,,,,,,,,,
316,,NA,,,,,,,,,
317,,NA,,,,,,,,,
318,,NA,,,,,,,,,
319,,NA,,,,,,,,,
320,don't have time to read it. ,Did not answer the question,,,,,,,,,
321,Needs to include price and value for money,Other,,,,,,,,,
322,,NA,,,,,,,,,
323,,NA,,,,,,,,,
324,,NA,,,,,,,,,
325,,NA,,,,,,,,,
326,"Obesity, diabetes and other nutritional issues will only be addressed if the buyers of the food know what the food contains. Information is key.",further nutritional information,,,,,,,,,
327,,NA,,,,,,,,,
328,,NA,,,,,,,,,
329,,NA,,,,,,,,,
330,,NA,,,,,,,,,
331,,NA,,,,,,,,,
332,,NA,,,,,,,,,
333,,NA,,,,,,,,,
334,,NA,,,,,,,,,
335,,NA,,,,,,,,,
336,,NA,,,,,,,,,
337,,NA,,,,,,,,,
338,,NA,,,,,,,,,
339,,NA,,,,,,,,,
340,,NA,,,,,,,,,
341,,NA,,,,,,,,,
342,,NA,,,,,,,,,
343,"It is flawed! I have already supplied information on a previous instruction, please investigate.",Did not answer the question,,,,,,,,,
344,,NA,,,,,,,,,
345,,NA,,,,,,,,,
346,,NA,,,,,,,,,
347,,NA,,,,,,,,,
348,,NA,,,,,,,,,
349,,NA,,,,,,,,,
350,,NA,,,,,,,,,
351,,NA,,,,,,,,,
352,,NA,,,,,,,,,
353,,NA,,,,,,,,,
354,,NA,,,,,,,,,
355,,NA,,,,,,,,,
356,,NA,,,,,,,,,
357,,NA,,,,,,,,,
358,,NA,,,,,,,,,
359,,NA,,,,,,,,,
360,,NA,,,,,,,,,
361,,NA,,,,,,,,,
362,,NA,,,,,,,,,
363,,NA,,,,,,,,,
364,,NA,,,,,,,,,
365,,NA,,,,,,,,,
366,,NA,,,,,,,,,
367,,NA,,,,,,,,,
368,,NA,,,,,,,,,
369,,NA,,,,,,,,,
370,,NA,,,,,,,,,
371,,NA,,,,,,,,,
372,,NA,,,,,,,,,
373,,NA,,,,,,,,,
374,,NA,,,,,,,,,
375,,NA,,,,,,,,,
376,,NA,,,,,,,,,
377,,NA,,,,,,,,,
378,,NA,,,,,,,,,
379,,NA,,,,,,,,,
380,,NA,,,,,,,,,
381,,NA,,,,,,,,,
382,,NA,,,,,,,,,
383,,NA,,,,,,,,,
384,,NA,,,,,,,,,
385,,NA,,,,,,,,,
386,,NA,,,,,,,,,
387,,NA,,,,,,,,,
388,,NA,,,,,,,,,
389,,NA,,,,,,,,,
390,,NA,,,,,,,,,
391,,NA,,,,,,,,,
392,,NA,,,,,,,,,
393,,NA,,,,,,,,,
394,,NA,,,,,,,,,
395,,NA,,,,,,,,,
396,,NA,,,,,,,,,
397,,NA,,,,,,,,,
398,,NA,,,,,,,,,
399,,NA,,,,,,,,,
400,,NA,,,,,,,,,
401,,NA,,,,,,,,,
402,,NA,,,,,,,,,
403,,NA,,,,,,,,,
404,"To calculate the nutritional values in a product a product would need to laboratory tested, and no company could afford this for their hundreds of products, especially if they are a small family run firm.  It would also impact the speed at which you could get a new product to market.",Small businesses canít afford testing products/updating labels would result in higher costs,,,,,,,,,
405,,NA,,,,,,,,,
406,,NA,,,,,,,,,
407,,NA,,,,,,,,,
408,,NA,,,,,,,,,
409,,NA,,,,,,,,,
410,,NA,,,,,,,,,
411,,NA,,,,,,,,,
412,,NA,,,,,,,,,
413,,NA,,,,,,,,,
414,,NA,,,,,,,,,
415,,NA,,,,,,,,,
416,,NA,,,,,,,,,
417,,NA,,,,,,,,,
418,,NA,,,,,,,,,
419,,NA,,,,,,,,,
420,,NA,,,,,,,,,
421,,NA,,,,,,,,,
422,,NA,,,,,,,,,
423,,NA,,,,,,,,,
424,,NA,,,,,,,,,
425,,NA,,,,,,,,,
426,,NA,,,,,,,,,
427,,NA,,,,,,,,,
428,,NA,,,,,,,,,
429,,NA,,,,,,,,,
430,,NA,,,,,,,,,
431,,NA,,,,,,,,,
432,,NA,,,,,,,,,
433,"Consultation groups with various age groups needed for planned new labels to verify ease of use. Wide spread education needed - in schools, targeted ads, health education etc.",Education needed/familiarisation costs,,,,,,,,,
434,,NA,,,,,,,,,
435,"I could not find a list of 'evaluation criteria' in the Technical Annex. I'm looking for an opportunity to highlight the importance of protein - why is this not being considered as an important nutrient influencing health (especially muscle health)?  Government needs to recognise the FAO recommendation to adopt the 'Digestible Indispensable Amino Acid Score' (DIAAS) too describe protein quality. When (not if) this replaces the current (and inadequate) 'Protein Digestibility Corrected Amino Acid Score' (PDCAA), the implications for the food industry and the relative value of different sources of protein will be profound.",further nutritional information,,,,,,,,,
436,,NA,,,,,,,,,
437,,NA,,,,,,,,,
438,,NA,,,,,,,,,
439,,NA,,,,,,,,,
440,,NA,,,,,,,,,
441,,NA,,,,,,,,,
442,,NA,,,,,,,,,
443,,NA,,,,,,,,,
444,,NA,,,,,,,,,
445,,NA,,,,,,,,,
446,,NA,,,,,,,,,
447,,NA,,,,,,,,,
448,,NA,,,,,,,,,
449,,NA,,,,,,,,,
450,,NA,,,,,,,,,
451,,NA,,,,,,,,,
452,,NA,,,,,,,,,
453,,NA,,,,,,,,,
454,,NA,,,,,,,,,
455,,NA,,,,,,,,,
456,,NA,,,,,,,,,
457,,NA,,,,,,,,,
458,,NA,,,,,,,,,
459,,NA,,,,,,,,,
460,,NA,,,,,,,,,
461,,NA,,,,,,,,,
462,,NA,,,,,,,,,
463,,NA,,,,,,,,,
464,,NA,,,,,,,,,
465,,NA,,,,,,,,,
466,,NA,,,,,,,,,
467,,NA,,,,,,,,,
468,,NA,,,,,,,,,
469,,NA,,,,,,,,,
470,,NA,,,,,,,,,
471,,NA,,,,,,,,,
472,,NA,,,,,,,,,
473,,NA,,,,,,,,,
474,,NA,,,,,,,,,
475,,NA,,,,,,,,,
476,,NA,,,,,,,,,
477,,NA,,,,,,,,,
478,,NA,,,,,,,,,
479,,NA,,,,,,,,,
480,,NA,,,,,,,,,
481,,NA,,,,,,,,,
482,,NA,,,,,,,,,
483,,NA,,,,,,,,,
484,,NA,,,,,,,,,
485,,NA,,,,,,,,,
486,,NA,,,,,,,,,
487,,NA,,,,,,,,,
488,,NA,,,,,,,,,
489,,NA,,,,,,,,,
490,,NA,,,,,,,,,
491,,NA,,,,,,,,,
492,,NA,,,,,,,,,
493,,NA,,,,,,,,,
494,,NA,,,,,,,,,
495,,NA,,,,,,,,,
496,,NA,,,,,,,,,
497,,NA,,,,,,,,,
498,,NA,,,,,,,,,
499,,NA,,,,,,,,,
500,,NA,,,,,,,,,
501,,NA,,,,,,,,,
502,,NA,,,,,,,,,
503,,NA,,,,,,,,,
504,,NA,,,,,,,,,
505,,NA,,,,,,,,,
506,,NA,,,,,,,,,
507,,NA,,,,,,,,,
508,,NA,,,,,,,,,
509,,NA,,,,,,,,,
510,,NA,,,,,,,,,
511,,NA,,,,,,,,,
512,,NA,,,,,,,,,
513,,NA,,,,,,,,,
514,,NA,,,,,,,,,
515,,NA,,,,,,,,,
516,,NA,,,,,,,,,
517,,NA,,,,,,,,,
518,,NA,,,,,,,,,
519,,NA,,,,,,,,,
520,,NA,,,,,,,,,
521,,NA,,,,,,,,,
522,,NA,,,,,,,,,
523,,NA,,,,,,,,,
524,,NA,,,,,,,,,
525,,NA,,,,,,,,,
526,,NA,,,,,,,,,
527,,NA,,,,,,,,,
528,,NA,,,,,,,,,
529,,NA,,,,,,,,,
530,,NA,,,,,,,,,
531,,NA,,,,,,,,,
532,,NA,,,,,,,,,
533,,NA,,,,,,,,,
534,,NA,,,,,,,,,
535,,NA,,,,,,,,,
536,,NA,,,,,,,,,
537,,NA,,,,,,,,,
538,,NA,,,,,,,,,
539,,NA,,,,,,,,,
540,,NA,,,,,,,,,
541,,NA,,,,,,,,,
542,,NA,,,,,,,,,
543,,NA,,,,,,,,,
544,I haven't been able to access this,Did not answer the question,,,,,,,,,
545,,NA,,,,,,,,,
546,,NA,,,,,,,,,
547,,NA,,,,,,,,,
548,,NA,,,,,,,,,
549,,NA,,,,,,,,,
550,,NA,,,,,,,,,
551,,NA,,,,,,,,,
552,,NA,,,,,,,,,
553,,NA,,,,,,,,,
554,,NA,,,,,,,,,
555,,NA,,,,,,,,,
556,,NA,,,,,,,,,
557,,NA,,,,,,,,,
558,,NA,,,,,,,,,
559,,NA,,,,,,,,,
560,,NA,,,,,,,,,
561,,NA,,,,,,,,,
562,,NA,,,,,,,,,
563,,NA,,,,,,,,,
564,"An examination of the impacts of the proposed labelling in other countries that implemented them and their effectiveness should be a primary consideration as it can provide a guide on many concerns e.g. costs to industry, enforcement etc.",Examine impacts of labelling in other countries,,,,,,,,,
565,,NA,,,,,,,,,
566,,NA,,,,,,,,,
567,,NA,,,,,,,,,
568,,NA,,,,,,,,,
569,,NA,,,,,,,,,
570,,NA,,,,,,,,,
571,,NA,,,,,,,,,
572,,NA,,,,,,,,,
573,,NA,,,,,,,,,
574,,NA,,,,,,,,,
575,,NA,,,,,,,,,
576,,NA,,,,,,,,,
577,Please consider eating disorders.,Consider eating disorders,,,,,,,,,
578,,NA,,,,,,,,,
579,,NA,,,,,,,,,
580,,NA,,,,,,,,,
581,,NA,,,,,,,,,
582,,NA,,,,,,,,,
583,,NA,,,,,,,,,
584,,NA,,,,,,,,,
585,,NA,,,,,,,,,
586,,NA,,,,,,,,,
587,,NA,,,,,,,,,
588,,NA,,,,,,,,,
589,,NA,,,,,,,,,
590,,NA,,,,,,,,,
591,,NA,,,,,,,,,
592,,NA,,,,,,,,,
593,,NA,,,,,,,,,
594,,NA,,,,,,,,,
595,,NA,,,,,,,,,
596,,NA,,,,,,,,,
597,,NA,,,,,,,,,
598,,NA,,,,,,,,,
599,,NA,,,,,,,,,
600,,NA,,,,,,,,,
601,,NA,,,,,,,,,
602,,NA,,,,,,,,,
603,,NA,,,,,,,,,
604,,NA,,,,,,,,,
605,,NA,,,,,,,,,
606,,NA,,,,,,,,,
607,,NA,,,,,,,,,
608,,NA,,,,,,,,,
609,,NA,,,,,,,,,
610,,NA,,,,,,,,,
611,,NA,,,,,,,,,
612,,NA,,,,,,,,,
613,,NA,,,,,,,,,
614,,NA,,,,,,,,,
615,,NA,,,,,,,,,
616,,NA,,,,,,,,,
617,,NA,,,,,,,,,
618,,NA,,,,,,,,,
619,,NA,,,,,,,,,
620,,NA,,,,,,,,,
621,,NA,,,,,,,,,
622,,NA,,,,,,,,,
623,,NA,,,,,,,,,
624,,NA,,,,,,,,,
625,The system is corrupt as long as you keep subsidising these industries. You need to take a bold stance if you actually care about people's health. Telling them to drop 5lbs and count calories is bull shit advice. ,Did not answer the question,,,,,,,,,
626,,NA,,,,,,,,,
627,,NA,,,,,,,,,
628,,NA,,,,,,,,,
629,,NA,,,,,,,,,
630,,NA,,,,,,,,,
631,,NA,,,,,,,,,
632,,NA,,,,,,,,,
633,,NA,,,,,,,,,
634,,NA,,,,,,,,,
635,,NA,,,,,,,,,
636,,NA,,,,,,,,,
637,"The following evaluation points are particularly important:   What is the impact on particular groups? This question is important and needs to be considered for eating disordered sufferers and carers.  Are there any unforeseen consequences (either advantages or disadvantages)? This question is important and needs to be considered in terms of the unintended consequences of costs for the NHS, if individuals with eating disorders are negatively affected and subsequently need higher levels of inpatient care to treat their eating disorder which may get exacerbated. ",Consider eating disorders,,,,,,,,,
638,,NA,,,,,,,,,
639,,NA,,,,,,,,,
640,,NA,,,,,,,,,
641,,NA,,,,,,,,,
642,,NA,,,,,,,,,
643,,NA,,,,,,,,,
644,,NA,,,,,,,,,
645,,NA,,,,,,,,,
646,,NA,,,,,,,,,
647,,NA,,,,,,,,,
648,,NA,,,,,,,,,
649,,NA,,,,,,,,,
650,,NA,,,,,,,,,
651,,NA,,,,,,,,,
652,Consider the impact upon those with e disorders,Consider eating disorders,,,,,,,,,
653,,NA,,,,,,,,,
654,,NA,,,,,,,,,
655,,NA,,,,,,,,,
656,,NA,,,,,,,,,
657,,NA,,,,,,,,,
658,,NA,,,,,,,,,
659,,NA,,,,,,,,,
660,,NA,,,,,,,,,
661,,NA,,,,,,,,,
662,,NA,,,,,,,,,
663,,NA,,,,,,,,,
664,,NA,,,,,,,,,
665,,NA,,,,,,,,,
666,,NA,,,,,,,,,
667,,NA,,,,,,,,,
668,,NA,,,,,,,,,
669,,NA,,,,,,,,,
670,,NA,,,,,,,,,
671,,NA,,,,,,,,,
672,,NA,,,,,,,,,
673,,NA,,,,,,,,,
674,,NA,,,,,,,,,
675,,NA,,,,,,,,,
676,,NA,,,,,,,,,
677,,NA,,,,,,,,,
678,,NA,,,,,,,,,
679,,NA,,,,,,,,,
680,,NA,,,,,,,,,
681,,NA,,,,,,,,,
682,,NA,,,,,,,,,
683,,NA,,,,,,,,,
684,,NA,,,,,,,,,
685,,NA,,,,,,,,,
686,,NA,,,,,,,,,
687,,NA,,,,,,,,,
688,,NA,,,,,,,,,
689,"Put the money where its needed, into therapy for the obese. And help for those struggling with eating dissorders. A healthy relationship with food will not be made from a colourful label!",Did not answer the question,,,,,,,,,
690,,NA,,,,,,,,,
691,,NA,,,,,,,,,
692,,NA,,,,,,,,,
693,,NA,,,,,,,,,
694,,NA,,,,,,,,,
695,,NA,,,,,,,,,
696,,NA,,,,,,,,,
697,,NA,,,,,,,,,
698,,NA,,,,,,,,,
699,,NA,,,,,,,,,
700,,NA,,,,,,,,,
701,,NA,,,,,,,,,
702,,NA,,,,,,,,,
703,,NA,,,,,,,,,
704,,NA,,,,,,,,,
705,,NA,,,,,,,,,
706,,NA,,,,,,,,,
707,,NA,,,,,,,,,
708,,NA,,,,,,,,,
709,,NA,,,,,,,,,
710,,NA,,,,,,,,,
711,,NA,,,,,,,,,
712,,NA,,,,,,,,,
713,,NA,,,,,,,,,
714,,NA,,,,,,,,,
715,,NA,,,,,,,,,
716,,NA,,,,,,,,,
717,,NA,,,,,,,,,
718,,NA,,,,,,,,,
719,,NA,,,,,,,,,
720,,NA,,,,,,,,,
721,,NA,,,,,,,,,
722,,NA,,,,,,,,,
723,,NA,,,,,,,,,
724,,NA,,,,,,,,,
725,,NA,,,,,,,,,
726,,NA,,,,,,,,,
727,,NA,,,,,,,,,
728,,NA,,,,,,,,,
729,,NA,,,,,,,,,
730,,NA,,,,,,,,,
731,,NA,,,,,,,,,
732,,NA,,,,,,,,,
733,,NA,,,,,,,,,
734,,NA,,,,,,,,,
735,,NA,,,,,,,,,
736,,NA,,,,,,,,,
737,,NA,,,,,,,,,
738,,NA,,,,,,,,,
739,,NA,,,,,,,,,
740,,NA,,,,,,,,,
741,,NA,,,,,,,,,
742,,NA,,,,,,,,,
743,,NA,,,,,,,,,
744,,NA,,,,,,,,,
745,,NA,,,,,,,,,
746,,NA,,,,,,,,,
747,,NA,,,,,,,,,
748,,NA,,,,,,,,,
749,,NA,,,,,,,,,
750,,NA,,,,,,,,,
751,,NA,,,,,,,,,
752,,NA,,,,,,,,,
753,,NA,,,,,,,,,
754,,NA,,,,,,,,,
755,,NA,,,,,,,,,
756,,NA,,,,,,,,,
757,,NA,,,,,,,,,
758,,NA,,,,,,,,,
759,,NA,,,,,,,,,
760,,NA,,,,,,,,,
761,,NA,,,,,,,,,
762,,NA,,,,,,,,,
763,,NA,,,,,,,,,
764,,NA,,,,,,,,,
765,,NA,,,,,,,,,
766,,NA,,,,,,,,,
767,Waste of money unless you address the root of the issue,Did not answer the question,,,,,,,,,
768,,NA,,,,,,,,,
769,,NA,,,,,,,,,
770,,NA,,,,,,,,,
771,,NA,,,,,,,,,
772,,NA,,,,,,,,,
773,,NA,,,,,,,,,
774,,NA,,,,,,,,,
775,,NA,,,,,,,,,
776,,NA,,,,,,,,,
777,,NA,,,,,,,,,
778,,NA,,,,,,,,,
779,,NA,,,,,,,,,
780,,NA,,,,,,,,,
781,,NA,,,,,,,,,
782,,NA,,,,,,,,,
783,,NA,,,,,,,,,
784,,NA,,,,,,,,,
785,,NA,,,,,,,,,
786,,NA,,,,,,,,,
787,,NA,,,,,,,,,
788,,NA,,,,,,,,,
789,,NA,,,,,,,,,
790,,NA,,,,,,,,,
791,,NA,,,,,,,,,
792,,NA,,,,,,,,,
793,,NA,,,,,,,,,
794,,NA,,,,,,,,,
795,,NA,,,,,,,,,
796,,NA,,,,,,,,,
797,,NA,,,,,,,,,
798,,NA,,,,,,,,,
799,,NA,,,,,,,,,
800,,NA,,,,,,,,,
801,,NA,,,,,,,,,
802,,NA,,,,,,,,,
803,,NA,,,,,,,,,
804,,NA,,,,,,,,,
805,,NA,,,,,,,,,
806,,NA,,,,,,,,,
807,,NA,,,,,,,,,
808,,NA,,,,,,,,,
809,,NA,,,,,,,,,
810,,NA,,,,,,,,,
811,,NA,,,,,,,,,
812,,NA,,,,,,,,,
813,,NA,,,,,,,,,
814,,NA,,,,,,,,,
